ASIN,product_name,brand_name,original_price,discount_price,discount,rating,reviews,commission,acc_commission,category,subcategory,availability,country_code,url,link,has_promo,has_acc
B09Y8XDB6F,"GROWNSY Nasal Aspirator for Baby, Electric Nose Aspirator for Toddler, Baby Nose Sucker, Automatic Nose Cleaner with 3 Silicone Tips, Adjustable Suction Level, Music and Light Soothing Funct",GROWNSY,$39.99,$39.99,0%,4.5,18155,13%,,Baby Products,Nasal Aspirators,IN_STOCK,US,https://www.amazon.com/dp/B09Y8XDB6F,,No,No
B09VTLCYX5,"GROWNSY Nasal Aspirator for Baby, Electric Nose Aspirator for Toddler, Baby Nose Sucker, Automatic Nose Cleaner with 3 Silicone Tips, Adjustable Suctions, Music and Light Soothing Function (",GROWNSY,$40.99,$40.99,0%,4.5,18155,13%,,Baby Products,Nasal Aspirators,IN_STOCK,US,https://www.amazon.com/dp/B09VTLCYX5,,No,No
B08CMWHD3B,"GROWNSY Nasal Aspirator for Baby, Electric Baby Nose Sucker with Larger Suction Chamber and More Powerful Suction, Automatic Nose Cleaner with Music and Light Soothing Function Grey",GROWNSY,$39.99,$39.99,0%,4.5,18155,13%,,Baby Products,Nasal Aspirators,IN_STOCK,US,https://www.amazon.com/dp/B08CMWHD3B,,No,No
B0D1KHPQ7B,"GROWNSY Nasal Aspirator for Baby with Protection Mode, Electric Nose Suction for Baby, Automatic Baby Nose Sucker with 3 Silicone Tips, Adjustable Suction Level, Music and Light Soothing Fun",GROWNSY,$39.99,$39.99,0%,4.5,18155,13%,,Baby Products,Nasal Aspirators,IN_STOCK,US,https://www.amazon.com/dp/B0D1KHPQ7B,,No,No
B08571VZ3Q,eufy Security Indoor Cam C120 | Plug-in Security Camera 3 MP | 2K with Wi-Fi | IP Camera | Voice Assistant Compatibility | Night Vision | Two-Way Audio | HomeBase 3 Compatible | Audio and Mo,eufy Security,$42.99,$39.99,6%,4.3,12687,5%,,Electronics,Bullet Cameras,IN_STOCK,US,https://www.amazon.com/dp/B08571VZ3Q,,No,No
B0FY3Y55DT,"Anker USB C 3.0 to Ethernet Adapter, Portable 1-Gigabit Network Hub, 10/100/1000 Mbps, for MacBook Pro, iPad Pro 2019/2018, ChromeBook, XPS, Galaxy S9/S8, and More (Pack of 2) USB C to Ether",Anker,$51.98,$37.96,26%,4.8,6222,3%,,Electronics,Laptop Network Adapters,IN_STOCK,US,https://www.amazon.com/dp/B0FY3Y55DT,,No,No
B0FY3YHZHP,"Anker USB C to USB C Right Angle Cable, 240W 90 Degree Type-C Braided Charging Cord for iPhone 17 Series and More (2Pack 6FT Black) (Pack of 2) 6ft (pack of 2)",Anker,$31.98,$31.98,0%,4.6,2636,3%,,Electronics,USB Cables,IN_STOCK,US,https://www.amazon.com/dp/B0FY3YHZHP,,No,No
B0FY3Y1WXP,"Anker USB C Cable(3.3FT, 240W), USB 4 Data Cable, 40Gbps, 8K HD Display, Thunderbolt 4/3 Compatible, for iPhone 17, MacBook, Hub, Docking and More (Pack of 2) 3.3 Feet (Pack of 2)",Anker,$59.98,$59.98,0%,4.7,1589,3%,,Electronics,Thunderbolt Cables,IN_STOCK,US,https://www.amazon.com/dp/B0FY3Y1WXP,,No,No
B0FXYD4MX7,"Anker 321 Power Strip with 20W USB-C, 3 Outlets and USB-C Charging for iPhone 15/14 Series, 5 ft Thin Cord and Flat Plug, Power Delivery, for Dorms, Home Office, Cruise, Travel, TUV Listed (",Anker,$39.98,$39.98,0%,4.6,243,3%,,Electronics,Power Strips,IN_STOCK,US,https://www.amazon.com/dp/B0FXYD4MX7,,No,No
B0FXYCNP9G,"Anker Flow USB A to Lightning Cable, Durable Charging Cord for iPhone 14/13, AirPods, and More (Cord Organizer Included) (3FT, USB 2.0) (Pack of 2) 3ft (Pack of 2)",Anker,$31.98,$31.98,0%,4.6,354,3%,,Electronics,Lightning Cables,IN_STOCK,US,https://www.amazon.com/dp/B0FXYCNP9G,,No,No
B0FXY98TCW,"Anker HDMI Cable, 4K@60Hz Ultra-Fast Nylon-Braided USB C to HDMI Cord with Advanced Shielding, Thunderbolt 5/4/3, for MacBook, iPad, iPhone, HD TV, and More (6FT,Black) (Pack of 2) 6FT (Pack",Anker,$39.98,$39.98,0%,4.8,1225,3%,,Electronics,HDMI Cables,IN_STOCK,US,https://www.amazon.com/dp/B0FXY98TCW,,No,No
B0FY3XWXLH,"Anker USB C Hub, 11-in-1 Docking Station with 4K@60Hz HDMI and DP, 85W Power Delivery, USB-C&3 USB-A Data Ports, 1 Gbps Ethernet, 3.5mm Audio, microSD and SD Card Reader (Pack of 2) 11-in-1 ",Anker,$139.98,$139.98,0%,4.3,2233,3%,,Electronics,USB Hubs,IN_STOCK,US,https://www.amazon.com/dp/B0FY3XWXLH,,No,No
B0FXY848JK,"Anker HDMI Cable 8K@60Hz, 6.6FT Ultra High Speed 4K@120Hz 48Gbps Ultra HD, HDMI Cable Support Dynamic HDR,eARC,Dolby Atmos,Compatible with PlayStation 5,Xbox Series X,Samsung TVs (Pack of 2)",Anker,$37.98,$35.98,5%,4.8,3319,3%,,Electronics,HDMI Cables,IN_STOCK,US,https://www.amazon.com/dp/B0FXY848JK,,No,No
B0FXY7J638,"Anker HDMI Cable, 4K@60Hz Ultra-Fast Nylon-Braided USB C to HDMI Cord with Advanced Shielding, Thunderbolt 5/4/3, for MacBook, iPad, iPhone, HD TV, and More(3FT,Black) (Pack of 2) 3FT (Pack ",Anker,$35.98,$35.98,0%,4.8,1225,3%,,Electronics,HDMI Cables,IN_STOCK,US,https://www.amazon.com/dp/B0FXY7J638,,No,No
B0823H9K3R,"Anker USB-C Hub for MacBook, 8-in-2 Adapter Compatible with Thunderbolt 3 USB-C Port, 4K HDMI, USB-A&C 3.0 Data Ports, SD Card, Lightning Audio 8-in-2 4K@30Hz",Anker,$36.99,$36.99,0%,4.4,1149,3%,,Electronics,USB Hubs,IN_STOCK,US,https://www.amazon.com/dp/B0823H9K3R,,No,No
B0F6L9DHYH,"REDTIGER F17 Elite 4K Dash Cam 3 Channel, STARVIS 2 IMX678 & IMX675, 128GB Card, Full Night Color, 4K+2.5K+1080P Front and Rear Inside, Voice Control, 5GHz WiFi-30MB/s Download, GPS, HDR, Pa",REDTIGER,$349.99,$219.98,37%,4.3,626,0%,,Electronics,On-Dash Cameras,IN_STOCK,US,https://www.amazon.com/dp/B0F6L9DHYH,,No,No
B0DPMLRYG8,"Bonsenkitchen Vacuum Sealer Machine, Stainless Steel Food Sealer Vacuum Sealers with 30 Bags & 1 Roll, 5 Food Vacuum Modes, Built-in Cutter & Bag Storage (White Silver)",Bonsenkitchen-US,$49.99,$49.99,0%,4.0,72,17%,,Home & Kitchen,Vacuum Sealers,IN_STOCK,US,https://www.amazon.com/dp/B0DPMLRYG8,,No,No
