ASIN,品牌,搜索量,CPC,关键词
B07F3DNWYP,Intex,49500,,intex pool
B0CRLCHMDF,Open Goaaal,49500,,soccer goal
B08HPGHP26,DeWitt,14800,,weed barrier fabric
B07H8SYS3F,Sterilite,12100,,under bed storage bins
B0CZCR7ZYT,ARCADE1UP,27100,,amazon cart
B0DFF7SSMW,JOYBERRI,27100,,amazon cart
