ASIN,product_name,company_name,price,total_reviews,avg_rating,brand_keyword
B0BQFXVGNZ,"ALLWEI LiFePO4 Solar Generator 2400W with 2x 200W Solar Panels & B200 PRO Expansion Battery, 2048Wh Portable Power Station, Fast Charge in 1.5H, UPS Battery Backup for RV Camping Home Off-Grid",ALLWEI,2488.0,138.0,4.4,ALLWEI LiFePO4 Solar
B0BQFXVGNZ,"ALLWEI LiFePO4 Solar Generator 2400W with 2x 200W Solar Panels & B200 PRO Expansion Battery, 2048Wh Portable Power Station, Fast Charge in 1.5H, UPS Battery Backup for RV Camping Home Off-Grid",ALLWEI,2488.0,138.0,4.4,ALLWEI LiFePO4 Solar
B0BQFXVGNZ,"ALLWEI LiFePO4 Solar Generator 2400W with 2x 200W Solar Panels & B200 PRO Expansion Battery, 2048Wh Portable Power Station, Fast Charge in 1.5H, UPS Battery Backup for RV Camping Home Off-Grid",ALLWEI,2488.0,138.0,4.4,ALLWEI LiFePO4 Solar
B0BQFXVGNZ,"ALLWEI LiFePO4 Solar Generator 2400W with 2x 200W Solar Panels & B200 PRO Expansion Battery, 2048Wh Portable Power Station, Fast Charge in 1.5H, UPS Battery Backup for RV Camping Home Off-Grid",ALLWEI,2488.0,138.0,4.4,ALLWEI LiFePO4 Solar
B0BQFXVGNZ,"ALLWEI LiFePO4 Solar Generator 2400W with 2x 200W Solar Panels & B200 PRO Expansion Battery, 2048Wh Portable Power Station, Fast Charge in 1.5H, UPS Battery Backup for RV Camping Home Off-Grid",ALLWEI,2488.0,138.0,4.4,ALLWEI LiFePO4 Solar
B0BQFXVGNZ,"ALLWEI LiFePO4 Solar Generator 2400W with 2x 200W Solar Panels & B200 PRO Expansion Battery, 2048Wh Portable Power Station, Fast Charge in 1.5H, UPS Battery Backup for RV Camping Home Off-Grid",ALLWEI,2488.0,138.0,4.4,ALLWEI LiFePO4 Solar
B0BQFXVGNZ,"ALLWEI LiFePO4 Solar Generator 2400W with 2x 200W Solar Panels & B200 PRO Expansion Battery, 2048Wh Portable Power Station, Fast Charge in 1.5H, UPS Battery Backup for RV Camping Home Off-Grid",ALLWEI,2488.0,138.0,4.4,ALLWEI LiFePO4 Solar
B0BQFXVGNZ,"ALLWEI LiFePO4 Solar Generator 2400W with 2x 200W Solar Panels & B200 PRO Expansion Battery, 2048Wh Portable Power Station, Fast Charge in 1.5H, UPS Battery Backup for RV Camping Home Off-Grid",ALLWEI,2488.0,138.0,4.4,ALLWEI LiFePO4 Solar
B0BQFXVGNZ,"ALLWEI LiFePO4 Solar Generator 2400W with 2x 200W Solar Panels & B200 PRO Expansion Battery, 2048Wh Portable Power Station, Fast Charge in 1.5H, UPS Battery Backup for RV Camping Home Off-Grid",ALLWEI,2488.0,138.0,4.4,ALLWEI LiFePO4 Solar
B0BQFXVGNZ,"ALLWEI LiFePO4 Solar Generator 2400W with 2x 200W Solar Panels & B200 PRO Expansion Battery, 2048Wh Portable Power Station, Fast Charge in 1.5H, UPS Battery Backup for RV Camping Home Off-Grid",ALLWEI,2488.0,138.0,4.4,ALLWEI LiFePO4 Solar
