brand_name,product_name,discount_price,reviews,rating,commission,asin,link
WORX US_AMZ,"WORX 20V 12‘’ Cordless String Trimmer & 360 CFM Leaf Blower Combo, 2 Batteries & Charger Included, WG929",$159.00,23,4.3,1%,,
eufy Security,"eufy Security Solar Wall Light Cam S120 (2-Pack), Solar Security Cameras Wireless Outdoor, Built-in 8GB Storage, Motion Activated Light, AI Detection, IP65 Waterproof, Spotlight, No Monthly ",$159.98,1633,4.1,6%,,
Anker,"Anker Prime Power Bank, 27,650mAh 3-Port 250W Portable Charger for Travel, TSA-Approved, Smart App, for MacBook Pro/Air, iPhone 16/15/14 Series, Samsung, Laptops, and More",$159.99,616,4.5,9%,,
Coolife,"Coolife Luggage 3 Piece Set Hardside Lightweight Suitcases: Upgraded Durable PC Travel Luggage with Dual Spinner Wheels & TSA Lock, 20/24/28 (20'' Expandable Only), Dark Purple",$159.99,28,4.5,,,
Anker,"Anker SOLIX C300 DC Power Bank Station, Outdoor 288Wh Portable Power Station, LiFePO4 Battery, 300W Solar Generator, for Camping, Traveling, and Emergencies (No Wall Charger Included)",$169.99,1556,4.6,3%,,
soundcore,"Soundcore AeroFit 2 Pro by Anker, Open-Ear and Active Noise Cancellation Modes, Hi-Res Open Ear Headphones for Commute,Office,Fitness, LDAC, 4-Mic AI Clear Calls, 34H, IP55, Wireless Bluetoo",$179.99,114,4.2,3%,,
soundcore,"Soundcore AeroFit 2 Pro by Anker, Open-Ear and Active Noise Cancellation Modes, Hi-Res Open Ear Headphones for Commute,Office,Fitness, LDAC, 4-Mic AI Clear Calls, 34H, IP55, Wireless Bluetoo",$179.99,114,4.2,3%,,
soundcore,"Soundcore AeroFit 2 Pro by Anker, Open-Ear and Active Noise Cancellation Modes, Hi-Res Open Ear Headphones for Commute,Office,Fitness, LDAC, 4-Mic AI Clear Calls, 34H, IP55, Wireless Bluetoo",$179.99,114,4.2,3%,,
Anker,"Anker SOLIX C200 DC Power Bank Station and 60W Solar Panel, 192Wh Portable Power Station, LiFePO4 Battery, 200W Solar Generator, For Outdoor, Camping, Traveling, and Emergencies",$179.99,178,4.7,7%,,
SEESII US,"Seesii Impact Wrench 1/2"" & Cordless Ratchet Wrench 3/8""",$179.99,514,4.4,15%,,
eufy Security,"eufy Security eufy Smart Display E10, Smart Home Hub, 8"" Control Panel, Compatible Devices, Four Views on One Screen, Instant Door Alerts, Daily Event Reports, One Tap Control, 64GB EMMC",$199.99,359,4.2,3%,,
DREO,"DREO TurboCool Misting Fan 765S, Fans that Blow Cold Air, 10°F Cooling, 34ft/s Fast Evaporative Air Cooler, 6L Tank, 20 dB Quiet DC Motor, 90° Tower Fan with 12 Speeds, 4 Modes for Home, Sil",$199.99,51,4.0,10%,,
Anker,"Anker SOLIX PS100 Solar Panel with Adjustable Kickstand, 100W Foldable Portable Solar Charger, IP67 Waterproof, 23% Higher Energy Conversion Efficiency, for Camping, RVs, and Blackouts",$209.00,208,4.5,13%,,
eufy Security,"eufy Security Heated Breast Pump S1, Hands-Free Breast Pump with Industry-Leading HeatFlow Tech, App-Controlled OptiRhythm, 300 mmHg Strong Suction, Leakproof, Slim and 46 dB Quiet for in-Br",$239.99,616,4.4,3%,,
Anker,"Anker SOLIX C300 DC Power Bank Station and 60W Solar Panel, 288Wh Portable Power Station, LiFePO4 Battery, 300W Solar Generator, for Outdoor, Camping, Traveling, and Emergencies",$246.99,219,4.5,13%,,
Anker,"Anker SOLIX EverFrost 2 Removable Battery, for 42 qt / 61 qt Portable Refrigerator",$249.00,26,4.3,13%,,
Roborock Amazon US,"roborock Q5 Pro Robot Vacuum and Mop Combo, 5500Pa Powerful Suction, DuoRoller Brush, LiDAR Navigation, 3D Mapping, Robotic Cleaner for Dirt, Floors, Pet Hair, 240min Runtime, Smart No-Go Zo",$249.99,2784,4.0,13%,,
Membrane Solutions,"Membrane Solutions 400 GPD RO Membrane 3.0""x12"" Reverse Osmosis Membrane Water Filter Replacement for Under Sink Home RO Water Purifier System and Maple Sap Syrup DIY, Aquariums (5 Pack)",$259.99,3195,4.6,15%,,
Anker,"Anker 535 Portable Power Station with Carrying Case Bag, 512Wh Solar Generator (Solar Panel Optional),500W 9-Port Powerhouse, 4 AC Outlets, 60W USB-C PD Output, LED Light for Outdoor Camping",$339.99,371,4.6,7%,,
WOLFBOX,"WOLFBOX Level 2 EV Charger 40amp - NEMA 14-50 EVSE with J1772 Connector - CSA Certified Wall Home EV Charger - 25FT Cable,Outdoor/Indoor,RFID Card,WiFi Enabled, 240V Electric Vehicle Chargin",$341.99,164,4.5,15%,,
eufy Security,"eufy Security Heated Wearable Breast Pump S1 Pro, Slim Hands-Free with Industry-Leading HeatFlow Tech, Wireless Charging Case, App-Controlled OptiRhythm, 300 mmHg Strong Suction, in-Bra Use",$349.99,1625,4.2,3%,,
Anker,"Anker SOLIX BP1000 Expansion Battery (1056Wh), LiFePO4 Batteries with 10-Year Lifespan, 1056Wh Extra Battery SOLIX C1000",$399.99,223,4.6,13%,,
Anker,"Anker 535 Solar Generator, Powerhouse 512Wh with 100W Solar Panel, Power Station with LiFePO4, 4 * 110V AC Outlets, 60W USB-C PD Output, LED Light for Outdoor Camping, RV, Power Outage(Anker",$449.99,53,4.3,7%,,
